测试针CP1411,CP1411,测试治具用
测试针CP1421,CP1421,测试治具用
测试针CP1422,CP1422,测试治具用
测试针CP1442,CP1442,测试治具用
测试针CP1450,CP1450,测试治具用
测试针CP1471,CP1471,测试治具用
测试针CP1511,CP1511,测试治具用
测试针CP1521,CP1521,测试治具用
测试针CP1523,CP1523,测试治具用
测试针CP1524,CP1524,测试治具用
测试针CP1532,CP1532,测试治具用
测试针CP1533,CP1533,测试治具用
测试针CP1534,CP1534,测试治具用
测试针CP1535,CP1535,测试治具用
测试针CP1536,CP1536,测试治具用
测试针CP1543,CP1543,测试治具用
测试针CP1550,CP1550,测试治具用
测试针CP1553,CP1553,测试治具用
测试针CP1563,CP1563,测试治具用
测试针CP1571,CP1571,测试治具用
模拟输出0001,0001,用于3222、3222-02、3443、3444
BCD输出0002,0002,用于3222 3222-03
GP-IB0003,0003,用于3222 3222-04
输入单元0004,0004,用于8801/8802
逻辑单元0005,0005,用于8802
RMS单元0006,0006,用于3133/3134    
RMS单元0007,0007,用于3134
RMS单元0008,0008,用于3135、3136  
RMS单元0009,0009,用于3136
打印连接单元0010,0010,用于3222 
模拟输入单元0011,0011,用于8900(8820)
输入单元0012,0012,用于8810/11/12/13
逻辑单元0013,0013,用于8811/12
GP-IB单元0014,0014,用于3520 
打印单元0015,0015,用于3520 
RMS单元0016,0016,用于3108/09
核心单元0017,0017,
核心单元0018,0018,
打印基板最终外观检查设备主机007N,007N,
共通部品用0990,0990,
共通部品用0991,0991,
共通部品用0992,0992,
共通部品用0993,0993,
共通部品用0994,0994,
共通部品用0995,0995,
共通部品用0996,0996,
共通部品用0997,0997,
共通部品用0998,0998,
共通部品用0999,0999,
测试棒带测试线（红）0GA00001,0GA00001,用于DSM-LR10
测试棒带测试线（黑）0GA00002,0GA00002,用于DSM-LB10
测试棒带测试线（红）0GA00003,0GA00003,用于DSM-LR20 2m
测试棒带测试线（黑）0GA00004,0GA00004,用于DSM-LB20 2m
测试棒带测试线（红）0GA00005,0GA00005,用于DSM-LR30
测试棒带测试线（黑）0GA00006,0GA00006,用于DSM-LB30
测试线（红）0GA00007,0GA00007,用于DSM/SM-82xx系列
测试线（黑）0GA00008,0GA00008,用于DSM/SM-82xx系列
测试线（红）0GA00009,0GA00009,用于DSM-LRC15
测试线（黑）0GA00010,0GA00010,用于DSM-LBC15
测试线（红）0GA00011,0GA00011,用于DSM-LRC20 2m
测试线（黑）0GA00012,0GA00012,用于DSM-LBC20 2m
测试线（红）0GA00013,0GA00013,用于DSM-LRC30 3m
测试线（黑）0GA00014,0GA00014,用于DSM-LBC30 3m
测试线（红）0GA00015,0GA00015,用于DSM-LRC50
测试线（黑）0GA00016,0GA00016,用于DSM-LBC50
测试线（红）0GA00017,0GA00017,用于DSM-LRC100
测试线（黑）0GA00018,0GA00018,用于DSM-LBC100
单侧开路测试线（红）0GA00019,0GA00019,用于DSM-LR010 1m
单侧开路测试线（黑）0GA00020,0GA00020,用于DSM-LB010 1m
单侧开路测试线（红）0GA00021,0GA00021,用于DSM-LR020 2m
单侧开路测试线（黑）0GA00022,0GA00022,用于DSM-LB020 2m
单侧开路测试线（红）0GA00023,0GA00023,用于DSM-LR030 3m
单侧开路测试线（黑）0GA00024,0GA00024,用于DSM-LB030 3m
单侧开路测试线（红）0GA00025,0GA00025,用于DSM-LR040
单侧开路测试线（黑）0GA00026,0GA00026,用于DSM-LB040
单侧开路测试线（红）0GA00027,0GA00027,用于DSM-LR050 5m
单侧开路测试线（黑）0GA00028,0GA00028,用于DSM-LB050 5m
两端带插头测试线（红）0GA00029,0GA00029,用于SME-8330
两端带香蕉头测试线（黑）0GA00030,0GA00030,用于SME-8330
用于TCS的连接器转换器0GC00015,0GC00015,
带测试棒的测试线（黑）0GE00001,0GE00001,用于DSM/SM-82xx/SM-23系列
带测试棒的测试线（红）0GE00002,0GE00002,用于DSM/SM-82xx/SM-23系列
打印机（EPS-SM）0KC00001,0KC00001,
AC同步电机1001,1001,
万用表105FET,105FET,
测试针1071,1071-24,
测试针1071,1071-25,
测试针1071,1071-26,
测试针1071,1071-27,
用于更换的耦合器10SM+1TSM,10SM+1TSM,用于PSR-3101
在线测试机1101,1101,
在线测试机1101-00,1101-00,只是机器本体(不包括压床和新真空台面)
在线测试机1101-01,1101-01,治具型准标准机型
在线测试机1101-02,1101-02,吸真空式 准标准机型
在线测试机1101-21,1101-21,可随后安装上下板机
在线测试机1102,1102,
在线测试机1102-00,1102-00,只是机器本体(不包括压床和新真空台面)
在线测试机1102-01,1102-01,治具型
在线测试机1102-02,1102-02,吸真空式
在线测试机1102-11,1102-11,专用在线型 (治具型)
在线测试机1102-21,1102-21,随后加装上下板机 (治具型)
在线测试机1105-00,1105-00,只是机器本体（箱式）
在线测试机1105-01,1105-01,治具型
在线测试机1105-11,1105-11,可对应加装上下板机
治具型测试机1107,1107,
治具型测试机1107-01,1107-01,
治具型测试机1107-02,1107-02,
测试单元1107-20,1107-20,
测试单元1107-21,1107-21,
测试单元1107-30,1107-30,
测试单元1107-31,1107-31,
治具型测试机1107-51,1107-51,
治具型测试机1107-52,1107-52,
治具型测试机1107-60,1107-60,
治具型测试机1107-61,1107-61,
治具型测试机1107-62,1107-62,
治具型测试机1107-63,1107-63,
