模拟输出0001,0001MR8847,用于3222、3222-02、3443、3444
BCD输出0002,0002MR8847,用于3222 3222-03
GP-IB0003,0003MR8847,用于3222 3222-04
输入单元0004,0004MR8847,用于8801/8802
逻辑单元0005,0005MR8847,用于8802
RMS单元0006,0006MR8847,用于3133/3134    
RMS单元0007,0007MR8847,用于3134
RMS单元0008,0008MR8847,用于3135、3136  
RMS单元0009,0009MR8847,用于3136
打印连接单元0010,0010MR8847,用于3222 
模拟输入单元0011,0011MR8847,用于8900(8820)
输入单元0012,0012MR8847,用于8810/11/12/13
逻辑单元0013,0013MR8847,用于8811/12
GP-IB单元0014,0014MR8847,用于3520 
打印单元0015,0015MR8847,用于3520 
RMS单元0016,0016MR8847,用于3108/09
